seed,split,power_w,radial_window,lower_mm,upper_mm,lower_closed,upper_closed,sample_count,rmse_c,mae_c,signed_bias_c,p95_abs_error_c,max_abs_error_c
2,validation,403.0,middle_8_17_mm,8.0,17.0,false,true,864,1.793664649938048,1.1871412006201483,0.1409664985910402,4.58394317626953,5.85369873046875
2,validation,403.0,outer_17_25_mm,17.0,25.0,false,true,768,1.620913831364985,1.3099527322569462,-0.6358865559578508,3.127650451660156,3.9488525390625
2,validation,630.5,center_0_8_mm,0.0,8.0,true,true,928,4.81198198725594,2.927832403109266,2.208473808105569,12.81501007080078,16.58050537109375
2,validation,630.5,middle_8_17_mm,8.0,17.0,false,true,1044,4.861409262847822,3.5528457884268065,0.1731924570321055,10.497169494628904,13.60101318359375
2,validation,630.5,outer_17_25_mm,17.0,25.0,false,true,928,5.452046347106185,5.002669321219535,-3.340102147200139,8.828373718261718,11.20904541015625
3,validation,115.2,center_0_8_mm,0.0,8.0,true,true,608,4.490690053296746,4.428851529171592,-4.428851529171592,5.817939758300781,6.2110595703125
3,validation,115.2,middle_8_17_mm,8.0,17.0,false,true,684,2.9325868970136857,2.727283143160636,-2.7239375421178273,4.559101867675781,5.071014404296875
3,validation,115.2,outer_17_25_mm,17.0,25.0,false,true,608,1.4308015558813243,1.136316801372327,0.036426644576223244,2.8770614624023434,4.236541748046875
3,validation,403.0,center_0_8_mm,0.0,8.0,true,true,768,1.5737825277038182,1.0308773439528502,0.21041510135628996,4.374942016601562,4.7857666015625
3,validation,403.0,middle_8_17_mm,8.0,17.0,false,true,864,1.2894487642999166,0.9794009409505918,-0.2771038707317809,2.9579544067382773,4.19146728515625
3,validation,403.0,outer_17_25_mm,17.0,25.0,false,true,768,1.8370980600089981,1.4856620397989966,-0.6587825558849327,3.528904724121093,5.003387451171875
3,validation,630.5,center_0_8_mm,0.0,8.0,true,true,928,5.617305438061044,3.318180459232274,3.1626435960055654,15.978504943847655,19.92755126953125
3,validation,630.5,middle_8_17_mm,8.0,17.0,false,true,1044,5.090086857434468,2.9496877767792236,2.1884315378798123,11.537458801269526,15.970489501953125
3,validation,630.5,outer_17_25_mm,17.0,25.0,false,true,928,5.18264328263977,3.9107907218351023,-0.21197078334287855,11.230870056152343,14.220977783203125
4,validation,115.2,center_0_8_mm,0.0,8.0,true,true,608,4.063413449834487,3.9009493275692586,-3.9009493275692586,6.198515319824218,6.781097412109375
4,validation,115.2,middle_8_17_mm,8.0,17.0,false,true,684,2.334508624554812,2.033185680010165,-1.956963745474118,4.176646423339844,5.336273193359375
4,validation,115.2,outer_17_25_mm,17.0,25.0,false,true,608,1.4784589376562138,1.1972889147306742,0.41398931804456196,2.7742080688476562,3.842498779296875
4,validation,403.0,center_0_8_mm,0.0,8.0,true,true,768,1.9527578346473973,1.226752542348107,0.7931394592597332,5.228549194335937,5.681121826171875
4,validation,403.0,middle_8_17_mm,8.0,17.0,false,true,864,1.6988746991998198,1.1797566123477279,0.1585509109765293,4.234082031249992,5.48724365234375
4,validation,403.0,outer_17_25_mm,17.0,25.0,false,true,768,1.8918164496519096,1.464880168459369,-0.311403003901468,4.1511596679687495,6.32623291015625
4,validation,630.5,center_0_8_mm,0.0,8.0,true,true,928,5.869637014524713,3.652687756016455,3.427792585978474,15.631076049804687,19.39715576171875
4,validation,630.5,middle_8_17_mm,8.0,17.0,false,true,1044,5.677461657857834,3.6432794074323787,2.7598767076500317,12.496511840820313,16.517486572265625
4,validation,630.5,outer_17_25_mm,17.0,25.0,false,true,928,5.687412477700156,4.241695271982368,-0.8909486455149574,11.471986389160154,16.0618896484375
